Name,Party,PartyLetter,BornDate,Age,Profession,Education,Spokesperson_Areas,ImageURL
Malte Larsen,Socialdemokratiet,A,19-12-1968,57,Indehaver,"Læreruddannelse, Haderslev Seminarium, 2002-2004. , Portøruddannelse, Aarhus, 1995. , HF, Grenaa Gymnasium og HF, 1991-1993. , Udlandsrejse, Thailand, New Zealand, Australien og USA, 1989-1990. , Landbrugsuddannelse, Malling Landbrugsskole, 1984-1989. , Folkeskole, Hundslund Skole, Gylling Skole og Skovbakkeskolen, 1974-1984.","Digitaliseringsordfører, Iværksætterordfører, Skatteordfører, Vækstordfører",https://www.dr.dk/parliament-member-images/malte_larsen_500.jpg
Marcus Knuth,Det Konservative Folkeparti,C,02-04-1976,50,Master of Public Administration,"Stabsofficersuddannelsen (Føringskursus for Reserven, Brigade), Hærens Officersskole, 2024. , Master of Public Administration (MPA), Harvard University, USA, 2013. , Master of Business Administration (MBA), IESE Business School, Spanien, 2007. , Bachelor i økonomi, University of Virginia, USA, 2002. , Løjtnantsskolen, Hærens Kampskole, 1997. , IB-student, Københavns Internationale Skole, 1995.","Beredskabsordfører, Forsvarsordfører, Grønlandsordfører, Kommunalordfører, Landdistrikts- og øordfører",https://www.dr.dk/parliament-member-images/marcus_knuth_500.jpg
Marianne Bigum,Socialistisk Folkeparti,F,10-04-1983,43,"Miljøingeniør, ph.d.","Ph.d., Danmark Tekniske Universitet, 2014. , Civilingeniør i miljøteknologi, Danmarks Tekniske Universitet, 2009. , Diplomingeniør i kemi, Danmarks Tekniske Universitet, 2007. , Student, Helsingør Gymnasium, 2002. , Folkeskole, Rungsted Skole, 1995-1999. , Folkeskole, Mørdrupskolen, Espergærde, 1990-1995.","Cirkulær økonomiordfører, Erhvervsordfører, Havmiljøordfører",https://www.dr.dk/parliament-member-images/marianne_bigum_500.jpg
Marie Bjerre,Venstre,V,06-05-1986,40,Fhv. minister,"LL.M. (Master of Laws), University of California, Berkeley School of Law, 2015-2016. , Cand.jur, Københavns Universitet, 2008-2011. , Ba.jur , Københavns Universitet, 2005-2008. , Matematisk student, Viborg Katedralskole, 2002-2005. , Folkeskole, Rødkærsbro Skole, 1992-2002.","Dyrevelfærdsordfører, Fødevareordfører, Kulturordfører, Medieordfører, Miljøordfører, Naturordfører",https://www.dr.dk/parliament-member-images/marie_bjerre_500.jpg
Marie Brixtofte,Venstre,V,12-01-1979,47,,"Aut.cand.psych (autoriseret psykolog), Psykolognævnet, 2017. , Cand.Psych (Psykolog), Københavns Universitet, 2011-2015. , MSc Finance and Economics, London School of Economics, London, 2002-2003. , BSc Psychology and Economics, City St George''s, University of London, 1999-2002.","Boligordfører, Skatteordfører",https://www.dr.dk/parliament-member-images/marie_brixtofte_500.jpg
Marlene Ambo-Rasmussen,Venstre,V,14-03-1986,40,MF,"Ba i erhvervsjura og erhvervsøkonomi, Syddansk Universitet, 2010-2014. , Markedsføringsøkonom, Tietgen Business College, 2008-2010.","Børneordfører, Familieordfører, Indfødsretsordfører, Integrationsordfører, Trivselsordfører",https://www.dr.dk/parliament-member-images/marlene_ambo-rasmussen_500.jpg
Marlene Harpsøe,Danmarksdemokraterne,Æ,03-08-1983,42,Sygeplejerske,"Sygeplejerske og professionsbachelor i sygepleje, Københavns Professionshøjskole, 2023. , Kontorassistent, Accoat A/S, 2006. , Hg-studenterforløb, Hillerød Handelsskole, 2004. , Sproglig student, Espergærde Gymnasium, 2002.","Ældreordfører, Børneordfører, Forskningsordfører, Uddannelsesordfører, Undervisningsordfører",https://www.dr.dk/parliament-member-images/marlene_harpsoee_500.jpg
Martin Lidegaard,Radikale Venstre,B,12-12-1966,59,"Erhvervs- og konkurrencekraftsminister, politisk leder for Radikale Venstre","Cand.comm., Roskilde Universitetscenter, 1987-1993. , Student, Helsingør Amtsgymnasium, 1982-1985. , Humlebæk Kommuneskole, 1973-1982.",,https://www.dr.dk/parliament-member-images/martin_lidegaard_500.jpg
Mathilde Hjort Bressum,Venstre,V,05-10-1998,27,,"Cand.scient.pol., Aarhus Universitet, 2022-2024. , Bsc scient.pol., Aarhus Universitet, 2018-2021. , Hhx, Handelsgymnasiet Tradium, Randers, 2014-2017. , Folkeskole, Randers Realskole, 2011-2014. , Folkeskole, Hornbæk Skole, Randers, 2003-2011.","Energiordfører, Forsyningsordfører, Iværksætterordfører, Klimaordfører",https://www.dr.dk/parliament-member-images/mathilde_hjort_bressum_500.jpg
Matilde Powers,Socialdemokratiet,A,08-04-1982,44,Sygeplejerske,"Kandidat i sundhedsfremme og sundhedsstrategier, Roskilde Universitet, 2013-2016. , Diplom i sundhedsfremme og forebyggelse, Professionshøjskolen Metropol, København, 2010-2012. , Sygeplejerske, H:S Sygeplejerskeuddannelsen, København, 2003-2006.",Undervisningsordfører,https://www.dr.dk/parliament-member-images/matilde_powers_500.jpg
